Energy Efficiency Rating (E),Resource Consumption (E),Data Center Location (E),Maintenance Cost (C),Obsolete Functionality (U),Redundancy (U),Low Usage (U),User Impact (C),Business Value (C),Compliance and Regulatory (U),Total Score,TARGET
1,0,1,0,1,0,0,0,0,1,4,0
1,0,1,1,1,0,0,0,0,0,4,0
0,0,0,1,1,1,0,0,1,0,4,0
1,0,1,0,0,1,0,0,1,0,4,0
1,0,0,0,1,0,1,1,0,0,4,0
1,0,1,0,0,0,0,1,1,0,4,0
0,1,0,0,0,1,1,1,0,0,4,0
1,0,0,1,1,0,1,0,0,0,4,0
1,0,0,1,1,1,0,0,0,0,4,0
0,0,0,0,1,0,0,1,0,1,3,0
0,0,0,0,1,1,0,0,1,0,3,0
1,0,0,0,0,1,0,0,1,0,3,0
0,0,0,0,0,1,1,1,0,0,3,0
1,0,1,0,0,1,0,0,0,0,3,0
1,0,0,0,0,1,1,0,0,0,3,0
1,0,0,1,0,1,0,0,0,0,3,0
0,0,0,1,1,0,0,0,0,1,3,0
0,0,0,0,0,1,0,1,0,1,3,0
0,0,1,0,0,0,1,0,0,1,3,0
0,0,1,0,0,0,0,1,1,0,3,0
0,0,0,1,1,0,1,0,0,0,3,0
1,0,1,0,0,0,0,0,0,1,3,0
1,0,0,0,0,1,1,0,0,0,3,0
0,0,0,1,1,0,1,0,0,0,3,0
0,0,0,0,1,1,0,0,1,0,3,0
0,1,0,0,0,0,1,0,0,1,3,0
0,0,1,0,1,1,0,0,0,0,3,0
0,1,0,0,0,1,0,0,0,1,3,0
0,0,0,1,0,1,0,0,1,0,3,0
0,0,0,1,1,0,0,0,1,0,3,0
1,1,0,1,0,0,0,0,0,0,3,0
1,0,0,1,0,0,0,0,1,0,3,0
0,1,1,0,0,0,0,1,0,0,3,0
1,0,0,1,0,0,1,0,0,0,3,0
0,0,1,0,1,0,0,0,1,0,3,0
1,1,0,0,0,0,1,0,0,0,3,0
0,0,1,1,1,0,0,0,0,0,3,0
1,1,0,0,0,0,1,0,0,0,3,0
0,1,0,0,0,0,0,1,1,0,3,0
0,0,0,0,1,1,1,0,0,0,3,0
0,1,1,0,0,0,0,0,0,1,3,0
0,1,0,0,0,0,1,0,0,1,3,0
1,0,0,0,0,0,0,0,1,1,3,0
1,1,0,0,0,0,1,0,0,0,3,0
0,0,0,0,0,0,1,0,1,0,2,0
0,0,0,0,0,0,0,1,1,0,2,0
0,0,0,0,0,0,1,1,0,0,2,0
1,0,0,0,0,0,1,0,0,0,2,0
0,1,0,0,1,0,0,0,0,0,2,0
1,0,0,0,0,0,1,0,0,0,2,0
0,0,1,0,0,0,0,0,0,1,2,0
0,1,0,0,0,0,0,0,1,0,2,0
0,0,1,0,0,0,0,0,0,1,2,0
0,1,0,0,0,0,0,0,1,0,2,0
1,0,0,0,0,0,0,1,0,0,2,0
0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
